"cbzj","gg","idCode","jx","pzwh","sccs","scpzrq","ssxkzcyr","ypmc"
"b6ade8dd048cdb9df90ebc32bfaeddec","盐酸羟考酮缓释片","片剂","40mg","是","H20140315;H20140320","2004-01-21","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
"37a7143f412e36a172040355d455f85f","美沙拉秦肠溶片","片剂","0.5g","是","H20150124","2008-07-08","Dr. Falk Pharma GmbH","Losan Pharma GmbH"
"f8b284ae7f9f62acb71eadee7e1a38b5","氟哌噻吨美利曲辛片","片剂","氟哌噻吨0.5mg和美利曲辛10mg/片","是","H20171104","1999-09-17","H.Lundbeck A/S","H.Lundbeck A/S"
"1e536fdf856ae1e1be8006b50e9e3ee3","阿法骨化醇软胶囊","胶囊剂","0.25μg","是","H20130513","1998-07-09","LEO Pharma A/S","LEO Pharma A/S"
"82fb97d4460164d50cb7fc224f92853c","米非司酮片","片剂","25mg","是","国药准字H10950003","2018-12-28",,"华润紫竹药业有限公司"
"f58785d287ff688947ea3185742ce034","米非司酮片","片剂","10mg","是","国药准字H20010633","2018-12-28",,"华润紫竹药业有限公司"
"d3f4f859316387ef6424de21aac86481","泊沙康唑肠溶片","片剂","100mg","是","H20180086","2018-12-07","Merck Sharp & Dohme Ltd","N.V.Organon"
"7b616fad7107316065ed3214b4b51886","地塞米松玻璃体内植入剂","植入剂","0.7mg","是","H20170377","2017-10-20","Allergan Pharmaceuticals Ireland ","Allergan Pharmaceuticals Ireland "
"35e2e9deee5055941441ca708bc18680","吸入用布地奈德混悬液","吸入混悬液","2ml:0.5mg","是","H20140474","1998-02-10","AstraZeneca Pty Ltd","AstraZeneca Pty Ltd"
"6abba65fc2a7f68969d33b0467979180","吸入用布地奈德混悬液","吸入混悬液","2ml:1mg","是","H20140475","1998-02-10","AstraZeneca Pty Ltd","AstraZeneca Pty Ltd"
"984d39e20531766f09999641dbfba2a4","盐酸罗哌卡因注射液","注射剂","10ml:75mg","是","H20140764","1998-12-17","AstraZeneca AB","AstraZeneca AB"
"5bc4facc052e00de6bd63786fa8a3d19","盐酸罗哌卡因注射液","注射剂","10ml:100mg","是","H20140763","1998-12-17","AstraZeneca AB","AstraZeneca AB"
"b91baa3fb983fea823ac738f6df1d930","醋酸加尼瑞克注射液","注射剂","0.5ml:0.25mg（以加尼瑞克计）","是","H20160574","2013-06-03","Merck Sharp & Dohme Limited","Vetter Pharma-Fertigung GmbH & Co.KG"
"b7892d45802c120cd26858696ef16148","注射用醋酸卡泊芬净","注射剂","50mg（以卡泊芬净计）","是","H20171218","2002-10-29","Merck Sharp & Dohme Ltd","Laboratoires Merck Sharp & Dohme Chibret"
"f6ff5f48ce848cfbb99e92542049ce5c","糠酸莫米松鼻喷雾剂","鼻喷雾剂","50微克/揿（0.05%）","是 ","H20140100","2000-07-14","MSD Belgium BVBA/SPRL","Schering-Plough Labo N.V."
"ed6b2370dbf5c02731ccdfef20cd9156","注射用头孢米诺钠","注射剂","1.0g
（以C16H21N7O7S3计）","是 ","H20150529;H20150530","1995-09-19","Meiji Seika Pharma Co., Ltd.","API Co., Ltd. Ikeda Pharmaceutical Plant"
"a689bdc6bbe5eb8c03c746e9ef7d338a","盐酸屈他维林注射液","注射剂","2ml:40mg","是 ","H20170302;H20170303","1997-03-12","Sanofi-aventis Private Co.Ltd.","CHINOIN Pharmaceutical and Chemical Works Private Co. Ltd."
"3bf89186bc441017aeb3929e13b5e901","注射用泮托拉唑钠","注射剂","40mg/瓶","是 ","H20150524","2001-11-22","Takeda GmbH","Takeda GmbH Production site Singen"
"fb8b113063b0bd4aa8ab07ad2754b8c0","注射用硼替佐米","注射剂","1.0mg","是 ","H20171070","2009-09-21","Janssen-Cilag International N.V.","BSP Pharmaceuticals S.p.A."
"d29d971c063ba80c7d8578fd86ae7261","注射用美罗培南","注射剂","0.5g（按C17H25N3O5S计）","是 ","H20140702;H20140703  ","1998-10-29","Sumitomo Dainippon Pharma Co., Ltd.","Sumitomo Dainippon Pharma Co., Ltd. Oita Plant"
"d303dbb01e6e952eea557f3b9e4d3b93","沙美特罗替卡松粉吸入剂","干粉吸入剂","50ug/100ug/泡","是","H20150323","2001-11-07","Laboratoire GlaxoSmithKline","Glaxo Wellcome Production"
"fb5d99a179c5b16398af9d16af248c65","沙美特罗替卡松粉吸入剂","干粉吸入剂","50ug/250ug/泡","是","H20150324","2001-11-07","Laboratoire GlaxoSmithKline","Glaxo Wellcome Production"
"3fc11bf73addfc79d9e25975773314ad","沙美特罗替卡松粉吸入剂","干粉吸入剂","50ug/500ug/泡","是","H20150325","2003-02-18","Laboratoire GlaxoSmithKline","Glaxo Wellcome Production"
"0f98a65960166580435351cc7f195951","丙氨酰谷氨酰胺注射液","注射剂","50ml:10g","是","H20150558;H20150559","1999-04-03","Fresenius Kabi Austria GmbH","Fresenius Kabi Austria GmbH"
"c5a05fe8aa41260796ea142e22ea2bed","肠内营养乳剂（TPF-D）","口服乳剂","500ml/袋","是","H20140192;H20140191","2001-08-22"," Fresenius Kabi Deutschland GmbH","Fresenius Kabi Deutschland GmbH"
"7716e04638e482dded955f90583fbcd4","肠内营养乳剂（TPF-D）","口服乳剂","500ml/瓶","是","H20140189;H20140190","2001-08-22"," Fresenius Kabi Deutschland GmbH","Fresenius Kabi Deutschland GmbH"
"72eb84d092ae730f1d0a9c24a8e1b013","醋酸奥曲肽注射液","注射剂","1ml:0.1mg","是","H20150364","1996-01-15","Novartis Pharma Schweiz AG","Novartis Pharma Stein AG"
"8e58d6c2099304df8e976581c829b652","地塞米松棕榈酸酯注射液","注射剂","1ml:4mg（以地塞米松棕榈酸酯计）","是","H20160167","1996-01-24","Mitsubishi Tanabe Pharma Corporation","Mitsubishi Tanabe Pharma Korea Co., Ltd.       "
"e36ca2552251434c614cfbf9af5110ea","碘佛醇注射液","注射剂","50mL:17.5g（I）","是","H20150571","1999-03-02","Liebel-Flarsheim Canada Inc.","Liebel-Flarsheim Canada Inc."
"c041d77f010ad437c91832ccb8c100b6","丙酸氟替卡松吸入气雾剂","吸入气雾剂","50 ug/揿","是","H20130189","1997-06-06","GlaxoSmithKline Australia Pty Ltd.","Glaxo Wellcome SA"
"7b013e5a4b3c7a43df2b05f77c86ba14","丙酸氟替卡松吸入气雾剂","吸入气雾剂","125 ug/揿","是","H20130190","1997-06-06","GlaxoSmithKline Australia Pty Ltd.","Glaxo Wellcome SA"
"20b56806d9c5c0094fdbb5484569bdd1","布洛芬混悬液","口服混悬剂","30ml:0.6g","是","国药准字H20000359","2000-05-23"," ","上海强生制药有限公司"
"f76abb8d74d7785ef1a17dd5192278d0","布洛芬混悬液","口服混悬剂","100ml:2g","是","国药准字H19991011","1999-03-17"," ","上海强生制药有限公司"
"8639d651104273da17f8679bc206b1c0","注射用醋酸卡泊芬净","注射剂","70mg（以卡泊芬净计）","是","H20171219","2002-10-29","Merck Sharp & Dohme Ltd","Laboratoires Merck Sharp & Dohme Chibret"
"e9b5e4236f44ffa803173e93f99acf3f","碘美普尔注射液","注射剂","100ml:40g（I）","是","H20150064;H20140756","2005-02-25","Bracco Imaging Italia S.r.L.","Patheon Italia S.P.A. "
"09aae182c903b7bcab12153ad3e626b2","碘美普尔注射液","注射剂","100ml:35g（I）","是","H20150063;H20140754","2005-02-25","Bracco Imaging Italia S.r.L.","Patheon Italia S.P.A. "
"62d1547aab73760ab58b4425dc03310d","碘美普尔注射液","注射剂","50ml:20g（I）","是","H20150059;H20140755","2005-02-25","Bracco Imaging Italia S.r.L.","Patheon Italia S.P.A. "
"3135215523ccf9f70c0d6c5fbd24e461","碘帕醇注射液","注射剂","37g（I）/100ml/瓶","是","H20150239;H20140890","2002-07-30","Bracco Imaging Italia S.r.L.","Patheon Italia S.P.A. "
"0c2a01786ac515fe9609c9e7b3cfe009","碘帕醇注射液","注射剂","30g（I）/100 ml/瓶","是","H20150240;H20140888","2002-07-30","Bracco Imaging Italia S.r.L.","Patheon Italia S.P.A. "
"742a0e227cbd6c79d71636683af50f81","碘帕醇注射液","注射剂","15g（I）/50ml/瓶","是","H20150241;H20140887","2002-07-30","Bracco Imaging Italia S.r.L.","Patheon Italia S.P.A. "
"18266d06454719b0d9299045b3428834","碘帕醇注射液","注射剂","74g（I）/200ml/瓶","是","H20140885;H20140891","2004-03-23","Bracco Imaging Italia S.r.L.","Patheon Italia S.P.A. "
"21109a6a36bf1f784614dce804c367a6","多西他赛注射液","注射剂","0.5ml:20mg","是","H20140086","1997-12-25","Aventis Pharma S.A.","Sanofi-Aventis Deutschland GmbH"
"392164f4068e88443e31d9ce08a3510d","注射用盐酸苯达莫司汀","注射剂","100mg（以C16H21Cl2N3O2·HCl计）","是","H20180087","2018-12-17","Cephalon Inc.","Pharmachemie B.V."
"bcb67c72437496aa90c2919e57cdce4c","注射用地西他滨","注射剂","50mg","是","H20181217","2008-09-28","Janssen-Cilag International NV","Pharmachemie B.V."
"de0f4fa4b3d4920da492829a41eb2a42","注射用环磷酰胺","注射剂","0.2g","是","H20160467","2001-03-14","Baxter Oncology GmbH","Baxter Oncology GmbH"
"2328d026c090b0ebbb20cb3bfd6c42d8","注射用盐酸吉西他滨","注射剂","200mg（以C9H11F2N3O4计）","是","H20160224","1999-02-13","LILLY FRANCE","Vianex S.A.-Plant C"
"55aadab51f73639f60f224f538970084","注射用盐酸吉西他滨","注射剂","1g（以C9H11F2N3O4计）","是","H20160225","1999-02-13","LILLY FRANCE","Vianex S.A.-Plant C"
"3a3fbab44808c8a185bb778ecde698f4","利培酮口服溶液","口服溶液剂","1mg/ml","是","H20171343","2002-10-29","Janssen-Cilag N.V .","Janssen Pharmaceutica N.V."
"578b83757681ee3f114617ad7fe253de","棕榈帕利哌酮酯注射液（3M）","注射剂","按帕利哌酮(C23H27FN4O3)计,2.625ml:525mg","是","H20180023","2018-05-17","Janssen-Cilag International NV","Janssen Pharmaceutica N.V."
"69b9149e2b42fa4a0074c496cceaccda","棕榈帕利哌酮酯注射液（3M）","注射剂","按帕利哌酮(C23H27FN4O3)计,1.315ml:263mg","是","H20180022","2018-05-17","Janssen-Cilag International NV","Janssen Pharmaceutica N.V."
"05808e5b56ecc6b24eb17ae12beedc7b","棕榈帕利哌酮酯注射液（3M）","注射剂","按帕利哌酮(C23H27FN4O3)计,1.75ml:350mg","是","H20180021","2018-05-17","Janssen-Cilag International NV","Janssen Pharmaceutica N.V."
"28ad6c640c44bed5e36640fe3a631d29","棕榈帕利哌酮酯注射液（3M）","注射剂","按帕利哌酮(C23H27FN4O3)计,0.875ml:175mg","是","H20180020","2018-05-17","Janssen-Cilag International NV","Janssen Pharmaceutica N.V."
"fa0e80999f0da1cd8291dd42af5543ec","他克莫司软膏","软膏剂","0.03%（10g:3mg）","是","H20181015;H20181014 ","2004-11-17","LEO Pharma A/S","Astellas Pharma Tech Co., Ltd. Toyama Technology Center"
"0552029cfbfe1636aba5310dcd92d5db","他克莫司软膏","软膏剂","0.1%（10g:10mg）","是","H20181016;H20181013","2004-11-17","LEO Pharma A/S","Astellas Pharma Tech Co., Ltd. Toyama Technology Center"
"1c8afd87ea5769cf8f3690da71275679","注射用特利加压素","注射剂","1mg","是","H20140690","1996-01-24","Ferring GmbH","Ferring GmbH"
"ff3b24ef708f8d20800820985979b537","注射用胸腺法新","注射剂","1.6mg","是","H20171177","1996-09-11","SciClone Pharmaceuticals Italy S.R.L.","Patheon Italia S.p.A."
"1ecdf33b62b1055e4151eeaf0820971e","溴芬酸钠滴眼液","滴眼剂","0.1%（5ml:5mg，按C15H11BrNNaO3·1&frac12;H2O计）","是","H20150243","2009-09-29","SENJU PHARMACEUTICAL CO., LTD.","SENJU PHARMACEUTICAL CO., LTD. Karatsu Plant"
"07074c47d9784db25878a473029064c2","注射用头孢他啶","注射剂","1g","是","H20171174","1998-01-10","GLAXOSMITHKLINE S.p.A.","GLAXOSMITHKLINE MANUFACTURING S.p.A."
"5ae3a4490bcb1a282909c3abedff64e9","中/长链脂肪乳注射液（C8~24 Ve）","注射剂","10%×500ml/瓶","是","H20140834","2002-07-25","B. Braun Melsungen AG","B. Braun Melsungen AG"
"55995698da5db36c8532ab4f18021bdc","中/长链脂肪乳注射液（C8~24 Ve）","注射剂","20%×250ml/瓶","是","H20140236;H20140234","2001-02-05","B. Braun Melsungen AG","B. Braun Melsungen AG"
"df94b398669057d06113e99868c74d80","长链脂肪乳注射液（OO）","注射剂","100ml:20g（脂肪）与1.2g（磷脂）","是","H20170154","2006-05-30","Baxter S.A.","Baxter S.A."
"a45c532a63cc0f25dc738e00042918fd","长链脂肪乳注射液（OO）","注射剂","250ml:50g（脂肪）与3g（磷脂）","是","H20170155","2006-05-30","Baxter S.A.","Baxter S.A."
"6c298d5ad0a61d9e12585d6d645f17e3","依诺肝素钠注射液","注射剂","0.4ml:4000AxaIU","是","H20170269","1997-08-27","Sanofi-aventis France","SANOFI WINTHROP INDUSTRIE"
"c8192922be114ff06864e7e69ff39dd9","依诺肝素钠注射液","注射剂","0.6ml:6000AxaIU","是","H20170270","1997-08-27","Sanofi-aventis France","SANOFI WINTHROP INDUSTRIE"
"15b1f6ac71dfa80222477cf1ca015c58","吡贝地尔缓释片","片剂","50mg","是","H20140104;H20140105","1993-05-15","LES LABORATOIRES SERVIER","LES LABORATOIRES SERVIER INDUSTRIE"
"3cb2d2a5e603138a8a0ffbbbae596a8f","盐酸羟考酮胶囊","胶囊剂","5mg","是 ","H20180033","2018-07-24","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
"2f421380d8aa85949325a295e1debe4e","盐酸羟考酮胶囊","胶囊剂","10mg","是 ","H20180034","2018-07-24","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
"1b5ddefd56d1483c2668b3ec1e699c69","盐酸羟考酮胶囊","胶囊剂","20mg","是 ","H20180035","2018-07-24","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
"09a5bd1fc1c799c6c60b2b3b7d237838","洛匹那韦利托那韦片","片剂","每片含洛匹那韦100mg，利托那韦25mg","是 ","H20181115","2009-03-13","AbbVie Ltd.","AbbVie Deutschland GmbH&Co.KG"
"8d3574613859fe422bda252164390e8b","洛匹那韦利托那韦片","片剂","每片含洛匹那韦200mg，利托那韦50mg","是 ","H20170213","2007-11-15","AbbVie Ltd.","AbbVie Deutschland GmbH&Co.KG"
"d8e1827d619a26003eedd8d0eff4470c","利托那韦片","片剂","100mg","是 ","H20160509","2011-07-18","AbbVie Ltd.","AbbVie Deutschland GmbH&Co.KG"
"6826983338dcb64b180bb4ce565fd55c","苯磺顺阿曲库铵注射液","注射剂","5ml:10mg","是 ","H20181158","2000-05-16","Aspen Pharma Trading Limited","GLAXOSMITHKLINE MANUFACTURING SPA"
"bd9bd5b5eaffb14c8a984537e58105df","米库氯铵注射液","注射剂","5ml:10mg","是 ","H20181155","2005-08-11","Aspen Pharma Trading Limited","GLAXOSMITHKLINE MANUFACTURING SPA"
"b8fe3435c9ac61567bf48a92aeae59e0","硫酸特布他林雾化吸入用溶液","雾化溶液剂","2ml:5mg","是 ","H20140108","1997-06-20","AstraZeneca AB","AstraZeneca AB"
"32876496cefdcd651cdae852f346b8df","盐酸莫西沙星氯化钠注射液","注射剂","250ml:莫西沙星0.4g与氯化钠2.0g","是 ","H20140424;H20140425","2004-04-15","Bayer Vital GmbH","Bayer AG"
"4dad41b53a03727c812e2baf1f63006c","吸入用复方异丙托溴铵溶液","吸入用溶液剂","2.5ml:异丙托溴铵0.5mg(按C20H30BrNO3计)与沙丁胺醇2.5mg(按C13H21NO3计)","是 ","H20150173","2002-09-12","SCS Boehringer Ingelheim Comm.V","Laboratoire Unither"
"fee6af1a163689a25e87283d78fadaea","醋酸去氨加压素注射液","注射剂","1ml:4μg（按去氨加压素计为3.56μg）","是 ","H20170093","1995-06-01","Ferring AG","Rechon Life Science AB"
"72bf11cab752f1385fc13260dff6d1fb","醋酸去氨加压素注射液","注射剂","1ml:15μg（按去氨加压素计为13.4μg）","是 ","H20130173","1998-12-28","Ferring AG","Rechon Life Science AB"
"fcf6472c8723eb5a7610100436abcb0b","盐酸伊立替康注射液","注射剂","2ml:40mg","是 ","H20160576","2003-05-23","Pfizer Australia Pty Ltd","Pfizer (Perth) Pty Limited"
"15163c629cb0dc575fe9fb978120d285","盐酸伊立替康注射液","注射剂","5ml:0.1g","是 ","H20160577","2003-05-23","Pfizer Australia Pty Ltd","Pfizer (Perth) Pty Limited"
"7827822555d0990e4681ee163b8b1a6d","注射用哌拉西林钠他唑巴坦钠","注射剂","4.5g（哌拉西林4.0g与他唑巴坦0.5g）","是 ","H20140910;H20140911","1996-07-12","Pfizer Limited","Wyeth Lederle S.R.L."
"695eb3345dc76e5563bd0ddd7449b665","注射用替加环素","注射剂","50mg","是 ","H20160471;H20160472","2010-11-09","Pfizer Limited","Wyeth Lederle S.r.l."
"94e53b7e63e3cc31abeb493c4859e59f","注射用帕瑞昔布钠","注射剂","40mg","是 ","H20171210;H20171071;H20171072","2008-03-24","Pfizer Ltd.","Pharmacia & Upjohn Company LLC"
"5b33d91df37677c9fa0b58d1f935e603","拉坦前列素滴眼液","眼用制剂","2.5ml:125μg","是 ","H20171094","1999-02-13","PFIZER SA"," Pfizer Manufacturing Belgium NV"
"81eeb110b13f5e04293529c8c7ac34bb","注射用培美曲塞二钠","注射剂","100mg ","是 ","H20150445","2009-07-14","ELI LILLY AND COMPANY ","ELI LILLY AND COMPANY "
"4090fbca6c6f41edd9fe548c5cc0e9c4","注射用培美曲塞二钠","注射剂","500mg","是 ","H20140662","2005-08-22","ELI LILLY AND COMPANY ","ELI LILLY AND COMPANY "
"87bc05cd811f5ecfaa95ceed2d68406e","盐酸羟考酮注射液","注射剂","1ml:10mg","是 ","H20170222","2013-04-23","NAPP PHARMACEUTICALS LIMITED","RAFA LABORATORIES LIMITED"
"8a4834dbcf23d41bcb01dedd621f2416","碘海醇注射液","注射剂","75ml: 26.25g（I）","是","国药准字H20000598","2000-10-24",,"通用电气药业（上海）有限公司"
"c148c8d470a2be43b947b5a94e95a4a0","碘海醇注射液","注射剂","100ml:35g（I）","是","国药准字H20000599","2000-10-24",,"通用电气药业（上海）有限公司"
"2c49e4fa9304c5d0781f04d5f155a7e5","碘海醇注射液","注射剂","200ml: 70g（I）","是","国药准字H20000600","2000-10-24",,"通用电气药业（上海）有限公司"
"20cea84610f9f670e70cc99e2cbc7b9f","碘美普尔注射液","注射剂","100ml:40g（I）","是","国药准字H20067802","2006-08-18",,"上海博莱科信谊药业有限责任公司"
"b7987462caefc4fe612a98856312af51","碘美普尔注射液","注射剂","75ml:30g（I）","是","国药准字H20067801","2006-08-18",,"上海博莱科信谊药业有限责任公司"
"18a207774661855417875bbb3c8d52e0","贝前列素钠片","片剂","20μg","是","H20181057;H20181058","2003-08-15","Toray Industries,Inc.","Toray Industries,Inc.Mishima Plant"
"469db8c19855e098b5c28b960ae2c4eb","复方氨基酸注射液（20AA）","注射剂","500ml:50g","是","H20171149","1998-03-30","B.Braun Melsungen AG","B. Braun Melsungen AG"
"31c7ff7ea0026475fbea0cd16af96531","盐酸氨溴索注射液","注射剂","2ml:15mg","是","H20150468;H20150469","2003-07-08","Boehringer Ingelheim Pharma GmbH&Co.KG","Boehringer Ingelheim Espana,S.A."
"63e42777bc6da529cf487411105d5a70","盐酸奥洛他定滴眼液","眼用制剂","0.1%（5ml:5mg，以C21H23NO3计）","是","H20181146","2002-06-13"," Novartis Europharm Limited","S.A.Alcon Couvreur N.V."
"8be5dc5fde65cd68f445b40cc7a7ff94","盐酸法舒地尔注射液","注射剂","2ml:30mg","是","H20150252","2001-08-22","Asahi Kasei Pharma Corporation","Asahi Kasei Pharma Corporation, Nagoya Pharmaceuticals Plant"
"2b714084e95bc11f341ab08feeba3d42","注射用阿扎胞苷","注射剂","100mg","是","H20170238","2017-04-24","Celgene Europe Ltd.","Baxter Oncology GmbH"
"7465ef8091a03218118dbc2ff10ebf9a","注射用艾司奥美拉唑钠","注射剂","40mg(按C17H19N3O3S计算)","是","H20160672;H20160673","2007-04-03","Astrazeneca AB","Astrazeneca AB"
"9ac3d8a1748905874f9b696792285927","注射用伏立康唑","注射剂","0.2g","是","H20181102","2004-10-21","Pfizer Limited","Pharmacia & Upjohn Company"
"14fac513c772a03e611bb9a1ebff7894","注射用唑来膦酸浓溶液","注射剂","5ml:4mg","是","H20150049","2008-11-04","Novartis Pharma Schweiz AG","Novartis Pharma Stein AG"
"ec25abe1fa86f136c56973bc01a22d25","唑来膦酸注射液","注射剂","100ml:5mg（以唑来膦酸无水物计）","是","H20181132","2007-04-26","Novartis Pharma Schweiz AG","Fresenius Kabi Austria GmbH"
"0fc0b2c5c9dbef685f93b61bfff009f9","利奈唑胺葡萄糖注射液","注射剂","300ml：利奈唑胺600mg与葡萄糖13.7g","是","H20160301","2006-09-12","Pfizer AS","Fresenius Kabi Norge AS"
"8afb76400f6b325d3d808df90ca40c25","利斯的明透皮贴剂","贴剂","4.6mg（5cm2）","是","H20170380","2017-11-21","Novartis Europharm Limited","LTS Lohmann Therapie-Systeme AG"
"5a1d06e450ac27c7cf00d17e93a9524a","利斯的明透皮贴剂","贴剂","9.5mg（10cm2）","是","H20170379","2017-11-21","Novartis Europharm Limited","LTS Lohmann Therapie-Systeme AG"
"cd8e00620fa9f3bde8cd4302019ca830","马来酸茚达特罗吸入粉雾剂","吸入粉雾剂","150 ug（以C24H28N2O3计）","是","H20160302","2012-06-15","Novartis Pharma Schweiz AG","Novartis Pharma Stein AG"
"883e0bf90246cb53db42f97d7a490163","麦考酚钠肠溶片","片剂","180mg","是","H20160051","2008-12-19","Novartis Pharma GmbH","Novartis Pharma Produktions GmbH"
"cbac5c74b3e58a09b6dc5a1946a8d910","米拉贝隆缓释片","片剂","25mg","是","H20171298;H20171305","2017-09-29","Astellas Pharma Europe B.V,","Avara Pharmaceutical Technologies Inc."
"882356af449a89dccca836c57757e5ee","米拉贝隆缓释片","片剂","50mg","是","H20171299;H20171306","2017-09-29","Astellas Pharma Europe B.V.","Avara Pharmaceutical Technologies Inc."
"597a6b78f2bf6cfc26aa2154d352f5ce","那屈肝素钙注射液","注射剂","0.3ml：3075AxaIU","是","H20181135","1994-04-08","Aspen Pharma Trading Limited","ASPEN Notre Dame de Bondeville"
"5fb8b13f634b3b02cc6535e1a7605935","那屈肝素钙注射液","注射剂","0.4ml：4100AXaIU","是","H20181136","1994-04-08","Aspen Pharma Trading Limited","ASPEN Notre Dame de Bondeville"
"412d41db9dcf2fdf8274241a3a55accc","那屈肝素钙注射液","注射剂","0.6ml：6150AXaIU","是","H20181137","1994-04-08","Aspen Pharma Trading Limited","ASPEN Notre Dame de Bondeville"
"dbcefb93bf5a6de7a7b0ff507ec1cf5e","帕立骨化醇注射液","注射液","1ml：5μg","是","H20181071","2013-07-16","AbbVie S.R.L."," Hospira S.P.A."
"6d3366b1741a8884e3fa50ad6e561de8","双氯芬酸钠双释放肠溶胶囊","胶囊剂","75mg","是","H20170098","1997-12-12","Temmler Werke GmbH","Temmler Ireland Ltd."
"1f4aa08a4d695eb822cc0f54d6674b2a","盐酸莫西沙星滴眼液","眼用制剂","按C21H24FN3O4计，5ml:25mg (0.5%,w/v)","是","H20180089","2018-12-17","Novartis pharmaceuticals Corporation","Alcon Laboratories, Inc."
